borde-int;bloque;transecto;cod_transecto;dist_perp;individuo;dist_m
borde;B1;T3;B1T3;114;1;1.14
borde;B1;T3;B1T3;254;1;2.54
borde;B1;T3;B1T3;410;1;4.10
borde;B1;T2;B1T2;260;1;2.60
borde;B1;T2;B1T2;66;1;0.66
borde;B1;T2;B1T2;75;1;0.75
borde;B1;T1;B1T1;109;1;1.09
borde;B1;T4;B1T4;311;1;3.11
borde;B1;T4;B1T4;62;1;0.62
borde;B1;T4;B1T4;80;1;0.80
borde;B1;T5;B1T5;320;1;3.20
borde;B1;T5;B1T5;484;1;4.84
borde;B1;T5;B1T5;80;1;0.80
borde;B2;T5;B2T5;33;1;0.33
borde;B2;T5;B2T5;198;1;1.98
borde;B2;T5;B2T5;122;1;1.22
borde;B2;T4;B2T4;216;1;2.16
borde;B2;T3;B2T3;426;1;4.26
borde;B2;T3;B2T3;181;1;1.81
borde;B2;T3;B2T3;134;1;1.34
borde;B2;T3;B2T3;443;1;4.43
borde;B2;T3;B2T3;1;1;0.01
borde;B2;T2;B2T2;352;1;3.52
borde;B2;T2;B2T2;107;1;1.07
borde;B2;T2;B2T2;273;1;2.73
borde;B2;T2;B2T2;36;1;0.36
borde;B3;T5;B3T5;3;1;0.03
borde;B3;T5;B3T5;81;1;0.81
borde;B3;T5;B3T5;94;1;0.94
borde;B3;T5;B3T5;101;1;1.01
borde;B3;T5;B3T5;76;1;0.76
borde;B3;T5;B3T5;90;1;0.90
borde;B3;T5;B3T5;100;1;1.00
borde;B3;T5;B3T5;110;1;1.10
borde;B3;T4;B3T4;275;1;2.75
borde;B3;T4;B3T4;68;1;0.68
borde;B3;T4;B3T4;40;1;0.40
borde;B3;T4;B3T4;184;1;1.84
borde;B3;T4;B3T4;95;1;0.95
borde;B3;T3;B3T3;232;1;2.32
borde;B3;T3;B3T3;377;1;3.77
borde;B3;T2;B3T2;230;1;2.30
borde;B3;T2;B3T2;238;1;2.38
borde;B3;T2;B3T2;378;1;3.78
borde;B3;T2;B3T2;403;1;4.03
borde;B3;T2;B3T2;15;1;0.15
borde;B3;T2;B3T2;139;1;1.39
borde;B3;T2;B3T2;236;1;2.36
borde;B3;T2;B3T2;312;1;3.12
interior;B4;T5;B4T5;324;1;3.24
interior;B4;T5;B4T5;92;1;0.92
interior;B4;T5;B4T5;120;1;1.20
interior;B4;T5;B4T5;362;1;3.62
interior;B4;T5;B4T5;171;1;1.71
interior;B4;T5;B4T5;354;1;3.54
interior;B4;T5;B4T5;260;1;2.60
interior;B4;T4;B4T4;236;1;2.36
interior;B4;T4;B4T4;147;1;1.47
interior;B4;T4;B4T4;275;1;2.75
interior;B4;T1;B4T1;64;1;0.64
interior;B4;T3;B4T3;213;1;2.13
interior;B4;T3;B4T3;68;1;0.68
interior;B5;T1;B5T1;308;1;3.08
interior;B5;T1;B5T1;134;1;1.34
interior;B5;T1;B5T1;212;1;2.12
interior;B5;T1;B5T1;375;1;3.75
interior;B5;T1;B5T1;448;1;4.48
interior;B5;T2;B5T2;209;1;2.09
interior;B5;T2;B5T2;160;1;1.60
interior;B5;T2;B5T2;358;1;3.58
interior;B5;T2;B5T2;218;1;2.18
interior;B5;T2;B5T2;64;1;0.64
interior;B5;T2;B5T2;282;1;2.82
interior;B5;T2;B5T2;90;1;0.90
interior;B5;T3;B5T3;165;1;1.65
interior;B5;T3;B5T3;60;1;0.60
interior;B5;T3;B5T3;187;1;1.87
interior;B5;T3;B5T3;140;1;1.40
interior;B5;T3;B5T3;242;1;2.42
interior;B5;T4;B5T4;82;1;0.82
interior;B5;T4;B5T4;388;1;3.88
interior;B5;T4;B5T4;68;1;0.68
interior;B5;T4;B5T4;90;1;0.90
interior;B5;T4;B5T4;68;1;0.68
interior;B5;T4;B5T4;14;1;0.14
interior;B5;T4;B5T4;67;1;0.67
interior;B5;T4;B5T4;63;1;0.63
interior;B5;T5;B5T5;263;1;2.63
interior;B5;T5;B5T5;500;1;5.00
interior;B5;T5;B5T5;16;1;0.16
interior;B6;T1;B6T1;10;1;0.10
interior;B6;T1;B6T1;354;1;3.54
interior;B6;T1;B6T1;214;1;2.14
interior;B6;T2;B6T2;73;1;0.73
interior;B6;T2;B6T2;112;1;1.12
interior;B6;T2;B6T2;80;1;0.80
interior;B6;T2;B6T2;129;1;1.29
interior;B6;T3;B6T3;38;1;0.38
interior;B6;T3;B6T3;47;1;0.47
interior;B6;T3;B6T3;30;1;0.30
interior;B6;T3;B6T3;91;1;0.91
interior;B6;T3;B6T3;225;1;2.25
interior;B6;T3;B6T3;50;1;0.50
interior;B6;T3;B6T3;321;1;3.21
interior;B6;T3;B6T3;308;1;3.08
interior;B6;T4;B6T4;96;1;0.96
interior;B6;T4;B6T4;73;1;0.73
interior;B6;T4;B6T4;322;1;3.22
interior;B6;T4;B6T4;272;1;2.72
interior;B6;T4;B6T4;257;1;2.57
interior;B6;T4;B6T4;287;1;2.87
interior;B6;T5;B6T5;352;1;3.52
interior;B4;T2;B4T2;;;
interior;B2;T1;B2T1;;;
borde;B3;T1;B3T1;;;
